Date,AAPL,MSFT,AMZN,GOOGL,META,XOM,BRK.B,JPM,JNJ,WMT
2021-08-13 00:00:00-04:00,0.08644293545492421,0.0,0.4216958104090425,0.0,0.0,0.0,0.01835245836892719,0.0,0.19174226896128385,0.2817665268058222
2021-08-20 00:00:00-04:00,0.1141989615740435,0.0,0.4771447313073654,0.0,0.02061521358643974,0.0,0.0,0.0,0.17007695867358827,0.21796413485856309
2021-08-27 00:00:00-04:00,0.13902065885604406,0.0,0.36380723007082083,0.0,0.05974679870809299,0.0,0.005767190881961872,0.0,0.17840061413694394,0.2532575073461365
2021-09-03 00:00:00-04:00,0.06480050614175623,0.0,0.34129882700726394,0.0,0.056270614671248616,0.0,0.05656960064576004,0.0,0.15725531150506472,0.3238051400289066
2021-09-10 00:00:00-04:00,0.06364702115746441,0.0,0.29663213754183626,0.0,0.0,0.0,0.11107293586736755,0.0,0.22214313818740966,0.30650476724592207
2021-09-17 00:00:00-04:00,0.06632951670651796,0.0,0.24320560295614463,0.0,0.0,0.0,0.12774355017205188,0.0,0.2458419502494053,0.3168793799158801
2021-09-24 00:00:00-04:00,0.07160182842977027,0.0,0.25468241151508486,0.0,0.03359143094447587,0.0,0.09924910794502897,0.0,0.23034414706761291,0.3105310740980271
2021-10-01 00:00:00-04:00,0.11195845566752799,0.010377954155110692,0.26018779633805805,0.0,0.07160011524586354,0.0,0.061767917031138306,0.0,0.19108968391652378,0.29301807764577764
2021-10-08 00:00:00-04:00,0.10029028040640899,0.0,0.2626674590173778,0.0,0.09999539283375973,0.0,0.048866054470155657,0.0,0.20529009686490074,0.282890716407397
2021-10-15 00:00:00-04:00,0.12392743664147844,0.0,0.26254604515069374,0.0,0.11650471256864198,0.0,0.023450809915956747,0.0,0.18611955230491845,0.2874514434183106
2021-10-22 00:00:00-04:00,0.07742623127649921,0.0,0.27046396409422496,0.0,0.17737622479223314,0.0,0.01856715895068231,0.0,0.18515322002589174,0.2710132008604686
2021-10-29 00:00:00-04:00,0.10178135729473207,0.0,0.26643392444996866,0.0,0.20115595602043393,0.0,0.026879070861965008,0.0,0.15922412602277064,0.24452556535012973
2021-11-05 00:00:00-04:00,0.09866512713210711,0.0,0.26691375113181964,0.0,0.19228513532415117,0.0,0.01766406086883626,0.0,0.16065325675819778,0.26381866878488813
2021-11-12 00:00:00-05:00,0.09310941351698955,0.0,0.20328955616644553,0.0,0.11531420402883547,0.0,0.08754608357587433,0.0,0.19682073343394127,0.30392000927791385
2021-11-19 00:00:00-05:00,0.0,0.0,0.1717454367374951,0.0,0.08956181332695752,0.0,0.13302824644786257,0.0,0.21410980482150577,0.39155469866617904
2021-11-26 00:00:00-05:00,0.0,0.0,0.22742910196727142,0.0,0.11026271885401664,0.0,0.10426765620955059,0.0,0.188929899505899,0.3691106234632624
2021-12-03 00:00:00-05:00,0.0,0.0,0.21356772066058458,0.0,0.18817085979170012,0.0,0.07390456267122862,0.0,0.18006868478174715,0.34428817209473955
2021-12-10 00:00:00-05:00,0.0,0.0,0.22082124046223056,0.0,0.14162910748023214,0.0,0.06397635770489143,0.0,0.21698744327194402,0.35658585108070184
2021-12-17 00:00:00-05:00,0.0,0.0,0.29638728542271325,0.0,0.09363582263987538,0.0,0.0,0.0,0.20815675703507577,0.4018201349023356
2021-12-24 00:00:00-05:00,0.0,0.0,0.2844129440594732,0.0,0.07916463907029439,0.0,0.005922661983867993,0.03425281464399946,0.2132298294627901,0.38301711077957484
2021-12-31 00:00:00-05:00,0.0,0.0,0.32118502671699417,0.0,0.08465117420752624,0.0,0.018343461723962486,0.03208475980996038,0.21792412377098178,0.32581145377057497
2022-01-07 00:00:00-05:00,0.0,0.0,0.33141033427143746,0.0,0.0607610750167208,0.0,0.0,0.03812585140112471,0.21644748276046336,0.3532552565502536
2022-01-14 00:00:00-05:00,0.0,0.0,0.2837849214422806,0.0,0.0,0.0,0.0,0.1519427677553954,0.2525104862852203,0.31176182451710366
2022-01-21 00:00:00-05:00,0.015760020125880365,0.0,0.3706171743001719,0.0,0.09695406826349091,0.0,0.0,0.09023627385020329,0.17859108413605654,0.24784137932419706
2022-01-28 00:00:00-05:00,0.0,0.0,0.3676856779885972,0.0,0.09051074058898824,0.0,0.0,0.09183063846661453,0.18122252444357487,0.26875041851222525
2022-02-04 00:00:00-05:00,0.0,0.0,0.2616968395865073,0.0,0.3185760697464553,0.0,0.0,0.06781293500364659,0.13068234464192466,0.22123181102146608
2022-02-11 00:00:00-05:00,0.0,0.0,0.23582076808239186,0.0,0.36641741724007404,0.0,0.0,0.045447438329519065,0.1336580161244081,0.2186563602236068
2022-02-18 00:00:00-05:00,0.0,0.0,0.21105317879803648,0.0,0.39889739970916915,0.0,0.0,0.11797302908192357,0.12667426202882023,0.14540213038205052
2022-02-25 00:00:00-05:00,0.0,0.0,0.20200746035942166,0.0,0.3944378469814166,0.0,0.0,0.16405259495386681,0.1155413121237581,0.12396078558153695
2022-03-04 00:00:00-05:00,0.0,0.0,0.20522282679018547,0.0,0.4514396734906326,0.0,0.0,0.27308370182858616,0.041123602570113146,0.029130195320482867
2022-03-11 00:00:00-05:00,0.0,0.0,0.18669397900678839,0.0,0.45637543799142005,0.0,0.0,0.2942297241989842,0.024743886483011943,0.03795697231979552
2022-03-18 00:00:00-04:00,0.0,0.0,0.14061466234800105,0.0,0.45816551518491666,0.0,0.0,0.2709394093841292,0.065660827911958,0.06461958517099493
2022-03-25 00:00:00-04:00,0.0,0.0,0.12072830249676245,0.0,0.3998678996897381,0.0,0.0,0.25541842236500883,0.10170886092244308,0.12227651452604744
2022-04-01 00:00:00-04:00,0.0,0.0,0.15623544151369426,0.0,0.45030405055941625,0.0,0.0,0.27680018011769514,0.04904379934826297,0.06761652846093158
2022-04-08 00:00:00-04:00,0.0,0.0,0.24796626672107414,0.0,0.46473050248570374,0.0,0.0,0.2873032307932222,0.0,0.0
2022-04-15 00:00:00-04:00,0.0,0.02290323555273721,0.2319108266950525,0.0,0.4593027131307302,0.0,0.0,0.2858832246214801,0.0,0.0
2022-04-22 00:00:00-04:00,0.0,0.019764445270441827,0.2252044238876746,0.038351544894882725,0.4932366383177842,0.0,0.0,0.22344294762921663,0.0,0.0
2022-04-29 00:00:00-04:00,0.0,0.0,0.30439500612799264,0.06683293684882098,0.3985130599267102,0.0,0.0,0.23025899709647615,0.0,0.0
2022-05-06 00:00:00-04:00,0.0,0.0,0.3309027530778343,0.03857953974139851,0.39075887556448896,0.0,0.0,0.23975883161627828,0.0,0.0
2022-05-13 00:00:00-04:00,0.0,0.0,0.3227733282019278,0.0,0.4000210830004966,0.0,0.0,0.2772055887975757,0.0,0.0
2022-05-20 00:00:00-04:00,0.0,0.0,0.2903296401788977,0.02225968968424661,0.3480409714103137,0.0,0.0,0.22474202413162891,0.0,0.11462767459491294
2022-05-27 00:00:00-04:00,0.0,0.0,0.2752297737514154,0.0648815537176546,0.3818415706465648,0.0,0.0,0.18259733903010286,0.0,0.09544976285426247
2022-06-03 00:00:00-04:00,0.0,0.0,0.23444690195233037,0.04961986454016434,0.41148201145639,0.0,0.0,0.19754332694886176,0.0,0.10690789510225347
2022-06-10 00:00:00-04:00,0.0,0.0,0.2881487500886395,0.042913165367996095,0.40646489263123087,0.0,0.0,0.18464815095936365,0.0,0.07782504095276986
2022-06-17 00:00:00-04:00,0.0,0.0,0.3344356985209954,0.029715442353162747,0.45572465956420893,0.0,0.0,0.14660326159278517,0.0,0.033520937968847725
2022-06-24 00:00:00-04:00,0.0,0.0,0.29795375298363486,0.0,0.4933270807546553,0.0,0.0,0.17438486206174578,0.0,0.03433430419996395
2022-07-01 00:00:00-04:00,0.0,0.0,0.28850055641158245,0.028251202091269353,0.48304761020131226,0.0,0.0,0.17779672080040906,0.0,0.022403910495426928
2022-07-08 00:00:00-04:00,0.0,0.0,0.3367659488661358,0.0,0.46897177701968623,0.0,0.0,0.16740029309618382,0.0,0.026861981017994068
2022-07-15 00:00:00-04:00,0.0,0.0,0.31086158300757916,0.04048178221196686,0.4672073914698954,0.0,0.0,0.18144924331055856,0.0,0.0
2022-07-22 00:00:00-04:00,0.0,0.0199357163917624,0.2665304077286873,0.09778175949409468,0.45931086464442794,0.0,0.0,0.1564412517410277,0.0,0.0
2022-07-29 00:00:00-04:00,0.0,0.0,0.20363564901083137,0.10569088323737282,0.4835981405975634,0.0,0.0,0.18001441352962308,0.0,0.02706091362460936
2022-08-05 00:00:00-04:00,0.0,0.0,0.12857042998153634,0.10022373381088595,0.506522645595836,0.0,0.0,0.18587617409226168,0.0,0.07880701651948005
2022-08-12 00:00:00-04:00,0.0,0.0,0.11400216846082001,0.09613247930776735,0.4859503263758127,0.0,0.0,0.206789850814608,0.015295571527673512,0.08182960351331849
2022-08-19 00:00:00-04:00,0.0,0.020707136745483773,0.11635295705571834,0.11943695569619335,0.4754052143522748,0.0,0.0,0.18588627837596056,0.020610477966819963,0.061600979807549236
2022-08-26 00:00:00-04:00,0.0,0.04202318246376275,0.14109867269478862,0.14839206211035622,0.43732615906194133,0.0,0.0,0.19216566593048245,0.0,0.03899425773866858
2022-09-02 00:00:00-04:00,0.0,0.05498566187126346,0.16572236033760082,0.15080841420057364,0.4486674810792512,0.0,0.0,0.17257406788240948,0.0,0.00724201462890138
2022-09-09 00:00:00-04:00,0.0,0.04993558401594437,0.16815195058006316,0.16291395785111892,0.45222477918124915,0.0,0.0,0.1636878972689635,0.0,0.0030858311026609356
2022-09-16 00:00:00-04:00,0.0,0.08790251669831378,0.17356183676846804,0.16710348932861852,0.44355263058716254,0.0,0.0,0.1278795266174372,0.0,0.0
2022-09-23 00:00:00-04:00,0.0,0.06965952135063222,0.18898150260007457,0.15970690064093115,0.4195261071487678,0.0,0.0,0.16212596825959413,0.0,0.0
2022-09-30 00:00:00-04:00,0.0,0.04159949611270808,0.17332745668890093,0.14829455388136753,0.43501003202848854,0.0,0.0,0.20176846128853496,0.0,0.0
2022-10-07 00:00:00-04:00,0.0,0.0733412929348999,0.16350002512688633,0.1509057456808393,0.4058631118683101,0.0,0.0,0.20638982438906434,0.0,0.0
2022-10-14 00:00:00-04:00,0.0,0.09699013226955928,0.19032260751577845,0.16053222220732494,0.4060840937726903,0.0,0.0,0.1460709442346471,0.0,0.0
2022-10-21 00:00:00-04:00,0.0,0.09942670905837858,0.1742616296199012,0.15942408147063808,0.43308370337711516,0.0,0.0,0.1338038764739672,0.0,0.0
2022-10-28 00:00:00-04:00,0.0,0.11679163367988725,0.20971698117573057,0.16777655210237752,0.4099465048000585,0.0,0.0,0.09576832824194619,0.0,0.0
