Date,Strategy_Value,Benchmark_Value
2020-07-06 00:00:00-04:00,65393.19690442882,66747.85843728312
2020-07-13 00:00:00-04:00,64241.55447633693,65057.68935516151
2020-07-20 00:00:00-04:00,65731.49804061299,65987.85957133192
2020-07-27 00:00:00-04:00,67974.48233411877,68560.60433847277
2020-08-03 00:00:00-04:00,65095.92435638328,65263.87311268129
2020-08-10 00:00:00-04:00,64536.2067059334,65029.52923376285
2020-08-17 00:00:00-04:00,66838.63471324512,67422.00539985375
2020-08-24 00:00:00-04:00,65069.85391517847,65692.89938961146
2020-08-31 00:00:00-04:00,63879.14237650354,64069.015222971255
2020-09-07 00:00:00-04:00,62485.14333515436,62289.53463933633
2020-09-14 00:00:00-04:00,58653.16120451488,57581.40352503079
2020-09-21 00:00:00-04:00,57230.39771793144,56053.342985358846
2020-09-28 00:00:00-04:00,55564.45513849189,54826.33485761067
2020-10-05 00:00:00-04:00,52699.09130276275,52061.235120844314
2020-10-12 00:00:00-04:00,52518.646721465535,51776.05860867801
2020-10-19 00:00:00-04:00,54070.46992328381,53489.60192378085
2020-10-26 00:00:00-04:00,52446.12048303461,51698.24633756352
2020-11-02 00:00:00-05:00,50058.30658505633,49212.11176061243
2020-11-09 00:00:00-05:00,51527.01495134882,50633.71521556571
2020-11-16 00:00:00-05:00,62417.07197065871,61362.41194782477
2020-11-23 00:00:00-05:00,65958.23501733298,65092.87416869659
2020-11-30 00:00:00-05:00,74487.8598528443,74551.52514366899
2020-12-07 00:00:00-05:00,69661.1323924458,68479.01925217274
2020-12-14 00:00:00-05:00,75583.90134703538,75474.08856932526
2020-12-21 00:00:00-05:00,76485.24601769734,76626.213381121
2020-12-28 00:00:00-05:00,71486.77293726808,70884.11008326046
2021-01-04 00:00:00-05:00,72844.24053436011,72383.06282420739
2021-01-11 00:00:00-05:00,77408.33074089531,77860.23556555997
2021-01-18 00:00:00-05:00,82876.24551834156,85026.18721502068
2021-01-25 00:00:00-05:00,80928.96004573126,83175.14018290202
2021-02-01 00:00:00-05:00,76318.66416230788,77998.40454097869
2021-02-08 00:00:00-05:00,74360.28450301109,76264.20040913916
2021-02-15 00:00:00-05:00,78401.40931478163,82518.37868259501
2021-02-22 00:00:00-05:00,82416.02031681366,86955.86256860325
2021-03-01 00:00:00-05:00,84192.58570729702,89815.70109684297
2021-03-08 00:00:00-05:00,83495.28746422302,89750.99893435079
2021-03-15 00:00:00-04:00,86817.10482276393,95411.48383077896
2021-03-22 00:00:00-04:00,88747.86722645348,96010.78655655662
2021-03-29 00:00:00-04:00,83539.58002100023,89938.8656158879
2021-04-05 00:00:00-04:00,85822.43583368768,92863.55394636065
2021-04-12 00:00:00-04:00,85910.38943722045,92198.73041862533
2021-04-19 00:00:00-04:00,84129.62887328115,90209.23151911428
2021-04-26 00:00:00-04:00,83904.46863574555,88925.31424793841
2021-05-03 00:00:00-04:00,85113.58088804323,91558.4010885287
2021-05-10 00:00:00-04:00,87207.22152720146,94010.75854285235
2021-05-17 00:00:00-04:00,91208.51092340884,97523.63550769174
2021-05-24 00:00:00-04:00,94069.26109271859,100328.98824778704
2021-05-31 00:00:00-04:00,91223.95863887027,96578.14544535358
2021-06-07 00:00:00-04:00,96086.95575095782,103530.34165789021
2021-06-14 00:00:00-04:00,99642.36888629536,106996.00793617603
2021-06-21 00:00:00-04:00,102166.77631031995,108737.28936962289
2021-06-28 00:00:00-04:00,99639.23671631138,106952.8154240655
2021-07-05 00:00:00-04:00,97679.15295428043,105479.85796558525
2021-07-12 00:00:00-04:00,95998.43648899888,104461.70175567578
2021-07-19 00:00:00-04:00,94601.58565954238,102978.92024261529
2021-07-26 00:00:00-04:00,87259.0593871584,92866.47299052899
2021-08-02 00:00:00-04:00,90566.1054259025,96242.58630727514
2021-08-09 00:00:00-04:00,92415.71800253415,97978.31960545294
2021-08-16 00:00:00-04:00,92980.07871639241,97433.54078013054
2021-08-23 00:00:00-04:00,90649.77414754401,93737.1777902435
2021-08-30 00:00:00-04:00,91072.73137422433,94709.15662813191
2021-09-06 00:00:00-04:00,90968.32643674724,95316.41663909434
2021-09-13 00:00:00-04:00,91026.77856456889,95406.22161959883
2021-09-20 00:00:00-04:00,90637.79840308797,95723.1193860649
2021-09-27 00:00:00-04:00,90718.20574459796,96337.77200746397
2021-10-04 00:00:00-04:00,98718.09832037309,107242.85916623265
2021-10-11 00:00:00-04:00,103435.65122544784,113566.37949670841
2021-10-18 00:00:00-04:00,104494.93483537565,115714.83221159094
2021-10-25 00:00:00-04:00,106304.68093889311,118106.65223476106
2021-11-01 00:00:00-04:00,106994.01599733613,120151.12445534619
2021-11-08 00:00:00-05:00,104916.92190479873,118431.13171366253
2021-11-15 00:00:00-05:00,106229.60690676626,120137.45959679103
2021-11-22 00:00:00-05:00,105755.79581482313,117601.738863175
2021-11-29 00:00:00-05:00,104630.49707476456,117216.80225846879
2021-12-06 00:00:00-05:00,101042.93133910919,112298.03028832411
2021-12-13 00:00:00-05:00,108942.15060858354,119774.80591826655
2021-12-20 00:00:00-05:00,105841.19461089913,114398.01812650789
2021-12-27 00:00:00-05:00,105779.36220188077,114610.85369649922
2022-01-03 00:00:00-05:00,108901.59388615632,118559.05318436994
2022-01-10 00:00:00-05:00,113008.67553630137,124680.2816707833
2022-01-17 00:00:00-05:00,119727.93937857373,132883.07145686293
2022-01-24 00:00:00-05:00,125637.69007750625,138774.80312855178
2022-01-31 00:00:00-05:00,125530.18073311361,138681.96335325157
2022-02-07 00:00:00-05:00,131448.7602040674,145229.17306068694
2022-02-14 00:00:00-05:00,131467.9996927057,144117.37442923116
2022-02-21 00:00:00-05:00,131222.98200479537,144578.50185223846
2022-02-28 00:00:00-05:00,130464.34304486027,142863.30399645757
2022-03-07 00:00:00-05:00,128871.35289747562,149504.16370531527
2022-03-14 00:00:00-04:00,132016.11096403183,156668.94682768395
2022-03-21 00:00:00-04:00,124948.23325744554,148867.08044532302
2022-03-28 00:00:00-04:00,132000.58759958492,158726.65813286023
2022-04-04 00:00:00-04:00,134296.11618143128,159374.6209475965
2022-04-11 00:00:00-04:00,135471.6036787622,158805.1649630543
2022-04-18 00:00:00-04:00,138534.81468211478,163426.62670827183
2022-04-25 00:00:00-04:00,142808.9171124716,166884.50602423484
2022-05-02 00:00:00-04:00,130463.52877423893,152328.0428522445
2022-05-09 00:00:00-04:00,139745.76811621085,163705.73458360735
2022-05-16 00:00:00-04:00,136797.45862626607,159402.88605985086
2022-05-23 00:00:00-04:00,149162.2766616172,173364.44164988174
2022-05-30 00:00:00-04:00,153003.63320759428,176204.9525511545
2022-06-06 00:00:00-04:00,153996.62959127035,181797.7139887078
2022-06-13 00:00:00-04:00,159475.26042417355,190069.825075172
2022-06-20 00:00:00-04:00,145633.0443379424,173410.10977040016
